LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE
2333455704,2330212501,2330212500,3,106,0,317,동탄기흥로,0,0,0,60,0,0,0,0,123.2711218,20230519
2333074400,2330097700,2330096900,1,107,0,-,동탄하나1길,0,0,0,40,0,0,0,0,77.10585994,20230519
2334007600,2330408400,2330408900,1,107,0,-,노작로4길,0,0,0,60,0,0,0,0,57.96805167,20230519
2333249600,2330098400,2330100000,1,107,0,-,동탄중앙로,0,0,0,30,0,0,0,0,106.935824,20230519
2333161900,2330078200,2330079000,2,107,0,-,동탄지성로,0,0,0,60,0,0,0,0,220.1789434,20230519
2333986200,2330401900,2330018200,2,105,0,84,효행로,0,0,0,60,0,0,0,0,46.62042482,20230519
2334212000,2330449700,2330450600,1,107,0,-,왕배산1길,0,0,0,40,0,0,0,0,55.90520459,20230519
2333103700,2330089100,2330091500,4,105,0,84,동탄원천로,0,0,0,60,0,0,0,0,186.0983989,20230519
2333107500,2330079000,2330080900,2,107,0,-,동탄지성로,0,0,0,60,0,0,0,0,289.9996772,20230519
2334377101,2330529901,2330530401,2,101,0,400,수도권제2순환고속도로,0,0,1,40,0,0,0,0,166.6532419,20230519
2334059600,2330458500,2330458700,1,107,0,-,-,0,0,0,10,0,0,0,0,60.50794379,20230519
2334221900,2330452600,2330212501,1,107,0,-,동탄기흥로,0,0,0,30,0,0,0,0,71.39470279,20230519
2333517103,2330238601,2330238602,2,107,0,-,동탄영천로,0,0,0,50,0,0,0,0,168.3061842,20230519
2333441302,2330206501,2330206500,2,106,0,311,동부대로,0,0,0,60,0,0,0,0,121.2202404,20230519
2334236400,2330238201,2330238203,1,107,0,-,동탄대로,0,0,0,40,0,0,0,0,238.2675865,20230519
2333679101,2330206700,2330302501,2,107,0,-,동탄산단3길,0,0,0,60,0,0,0,0,203.3066348,20230519
2334057400,2330303301,2330454400,1,107,0,-,동탄산단9길,0,0,0,30,0,0,0,0,120.5446107,20230519
2333517904,2330238206,2330304500,3,107,0,-,동탄청계로,0,0,0,60,0,0,0,0,329.9875186,20230519
2334305601,2330504901,2330504401,3,107,2,-,동탄신리천로,0,0,0,50,0,0,0,0,485.5070254,20230519
2333999800,2330405500,2330406500,1,107,0,-,10용사1길,0,0,0,60,0,0,0,0,135.713283,20230519
2333450700,2330210000,2330210500,3,106,0,311,동부대로,0,0,1,40,0,0,0,0,188.8399376,20230519
2333685400,2330305000,2330305100,1,107,0,-,동탄청계로,0,0,0,40,0,0,0,0,440.54242,20230519
2334217400,2330453400,2330453500,1,107,0,-,경기동로317번가길,0,0,0,40,0,0,0,0,48.10749653,20230519
2334204100,2330448800,2330447800,1,107,0,-,동탄순환대로14길,0,0,0,40,0,0,0,0,71.88840189,20230519
2333460100,2330214500,2330214000,3,106,3,317,동탄기흥로,0,0,0,60,0,0,0,0,66.5663946,20230519
2333451102,2330303200,2330212500,3,107,0,-,동탄산단8길,0,0,0,60,0,0,0,0,164.6074124,20230519
2334345001,2330517601,2330517501,1,107,0,-,동탄순환대로10길,0,0,0,50,0,0,0,0,248.9312286,20230519
2334014100,2330410200,2330410600,1,107,0,-,지산1길,0,0,0,40,0,0,0,0,159.8724629,20230519
2334006600,2330061600,2330407500,2,107,0,-,10용사로,0,0,0,60,0,0,0,0,470.5333537,20230519
2334012001,2330409700,2330409701,2,107,0,-,동탄대로17길,0,0,0,40,0,0,0,0,159.9114495,20230519
2334107000,2330413401,2330462100,1,107,0,-,-,0,0,0,40,0,0,0,0,136.0553076,20230519
2334018800,2330411400,2330365400,1,107,0,-,동탄순환대로24길,0,0,0,40,0,0,0,0,195.7348645,20230519
2334348701,2330496100,2330518501,2,107,0,-,노작로,0,0,0,50,0,0,0,0,31.61029661,20230519
2334018100,2330411400,2330411300,1,107,0,-,지산2길,0,0,0,40,0,0,0,0,54.06332991,20230519
2333244400,2330106700,2330107100,1,107,0,-,삼성1로3길,0,0,0,60,0,0,0,0,292.1695018,20230519
2333252300,2330092900,2330090100,1,107,0,-,-,0,0,0,30,0,0,0,0,226.604641,20230519
2334403900,2330540400,2330540500,1,107,0,-,동탄신리천로6길,0,0,0,30,0,0,0,0,81.17884801,20230519
2333292100,2330145400,2330144900,3,107,0,-,동탄중앙로,0,0,0,60,0,0,0,0,192.7436512,20230519
2333029401,2330019700,2330320700,2,105,0,84,동탄원천로,0,0,0,60,0,0,0,0,140.0023079,20230519
2334143500,2330468500,2330467700,1,107,0,-,남여울2길,0,0,0,50,0,0,0,0,51.01707643,20230519
2334146600,2330069501,2330469900,1,107,0,-,10용사로,0,0,0,60,0,0,0,0,136.8728623,20230519
2334149100,2330468900,2330468800,1,107,0,-,남여울1길,0,0,0,50,0,0,0,0,21.88584667,20230519
2334112300,2330463900,2330463800,1,107,0,-,동탄반송2길,0,0,0,30,0,0,0,0,61.70266147,20230519
2334003610,2330407505,2330407504,1,107,0,-,금반2길,0,0,0,50,0,0,0,0,44.49902533,20230519
2333104200,2330096900,2330095700,2,105,0,84,동탄원천로,0,0,0,60,0,0,0,0,86.79941832,20230519
2334062000,2330238104,2330460700,1,107,0,-,-,0,0,0,40,0,0,0,0,74.17522582,20230519
2334213000,2330450800,2330451700,1,107,0,-,왕배산2길,0,0,0,30,0,0,0,0,95.12029974,20230519
2333185900,2330094800,2330095900,1,107,0,-,-,0,0,0,60,0,0,0,0,47.29679544,20230519
2334008400,2330408800,2330408300,1,107,0,-,탄요1길,0,0,0,50,0,0,0,0,196.1282598,20230519
2333685900,2330305300,2330305100,1,107,0,-,동탄순환대로22길,0,0,0,30,0,0,0,0,651.9210434,20230519
2333744100,2330326800,2330326500,1,107,0,-,동탄순환대로11길,0,0,0,40,0,0,0,0,246.3326735,20230519
2334108400,2330462800,2330462900,1,107,0,-,금반2길,0,0,0,50,0,0,0,0,43.05863735,20230519
2334112400,2330463800,2330463900,1,107,0,-,동탄반송2길,0,0,0,30,0,0,0,0,61.80585325,20230519
2334203700,2330448700,2330448600,1,107,0,-,동탄순환대로14길,0,0,0,40,0,0,0,0,90.46115017,20230519
2333734100,2330302800,2330322900,1,107,0,-,동탄산단2길,0,0,0,30,0,0,0,0,106.452106,20230519
2334229800,2330456100,2330456800,1,107,0,-,동탄기흥로257번가길,0,0,0,30,0,0,0,0,107.6650165,20230519
2333848000,2330362900,2330363000,1,107,0,-,-,0,0,0,40,0,0,0,0,159.9832751,20230519
2333114300,2330087000,2330086200,1,107,0,-,-,0,0,0,40,0,0,0,0,45.60317283,20230519
2333441700,2330206400,2330207200,3,107,3,-,동탄순환대로,0,0,0,60,0,0,0,0,202.8360746,20230519
2334036100,2440020100,2330460900,1,107,0,-,-,0,0,0,50,0,0,0,0,91.55626751,20230519
2333455701,2330213000,2330303500,3,106,0,317,동탄기흥로,0,0,0,60,0,0,0,0,264.3941572,20230519
2333522000,2330240300,2330240400,1,105,0,23,용구대로,0,0,1,40,0,0,0,0,558.1736295,20230519
2333247700,2330104600,2330103900,1,107,0,-,큰재봉길,0,0,0,30,0,0,0,0,58.67745042,20230519
2334145300,2330467300,2330077200,1,107,0,-,여울로2길,0,0,0,30,0,0,0,0,38.00700196,20230519
2334145900,2330467500,2330071202,1,107,0,-,여울로2길,0,0,0,30,0,0,0,0,38.77161537,20230519
2334065600,2330013610,2330465600,1,107,0,-,삼성1로,0,0,0,60,0,0,0,0,198.0576404,20230519
2333629800,2330283800,2330283900,2,105,4,23,용구대로,0,0,0,80,0,0,0,0,588.0871472,20230519
2333727800,2330320800,2330321000,1,107,0,-,여울로4길,0,0,0,60,0,0,0,0,36.1379575,20230519
2333094103,2330069500,2330069502,3,107,0,-,10용사로,0,0,0,60,0,0,0,0,251.3030178,20230519
2333254100,2330013501,2330071300,1,107,0,-,풀무골로60번길,0,0,0,20,0,0,0,0,271.4902572,20230519
2334058300,2330456300,2330456200,1,107,0,-,동탄기흥로247번길,0,0,0,30,0,0,0,0,34.21521582,20230519
2334024600,2330413200,2330366600,1,107,0,-,동탄치동천로4길,0,0,0,40,0,0,0,0,70.91411512,20230519
2334085200,2330447500,2330448700,1,107,0,-,동탄순환대로14길,0,0,0,40,0,0,0,0,30.33186611,20230519
2334098600,2330238601,2330352301,1,107,0,-,동탄순환대로,0,0,0,40,0,0,0,0,217.3808437,20230519
2333847300,2330363100,2330362800,1,107,0,-,동부대로730번길,0,0,0,40,0,0,0,0,161.4047582,20230519
2333621242,2330352500,2330238800,3,107,0,-,동탄순환대로,0,0,0,60,0,0,0,0,75.34945938,20230519
2333106000,2330071500,2330071600,1,107,0,-,동탄공원로1길,0,0,0,30,0,0,0,0,44.71082187,20230519
2333115901,2330079200,2330321100,1,107,0,-,미래로,0,0,0,40,0,0,0,0,281.8450219,20230519
